"source","lastmodified","id","hanged_no","SP_pos","wire_no","quantity","start_strip","start_tinning","length","end_tinning","end_strip","allowance","soldering","from_seal_id","from_tip_id","item_id","operation_id","to_seal_id","to_tip_id","qr","from_connector","from_pin","sygnal","to_connector","to_pin"
,2025-08-02 20:54:03.767 +0300,23,E3,53,"53.1",1,,false,10,false,,0,false,,,Трубка термоусадочная ТУТ-12/6 желтая (КВТ) ТУ 2247-011-79523310-2006,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000F",,,,,
,2025-08-02 20:54:36.632 +0300,24,E4,55,"55.1",1,,false,10,false,,0,false,,,Трубка термоусадочная ТУТ-12/6 зеленая (КВТ) ТУ 2247-011-79523310-2006,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000F",,,,,
,2025-08-02 23:32:36.971 +0300,5,A3,27,Б-3-2,1,6,false,1600,true,10,0,true,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"80003",,,,,
,2025-08-23 19:08:43.409 +0300,48,G4,49,"49.1",1,,false,10,false,,0,false,,,Трубка термоусадочная ТУТ-12/6 зеленая (КВТ) ТУ 2247-011-79523310-2006,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000O",,,,,
,2025-10-30 16:43:56.279 +0300,28,A2,23,Б-3-2,1,10,true,2650,true,10,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000I",XT1,,МАССА,XT5,
,2025-10-30 16:43:56.382 +0300,27,E1,23,Б-3-3,1,10,true,4300,true,10,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000H",XT1,,МАССА,XT7,
,2025-10-30 16:45:37.953 +0300,26,B1,23,Б-3-4,1,10,true,150,false,6,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT5,,МАССА,X2,2
,2025-10-30 16:47:12.306 +0300,25,A1,23,Б-3-5,1,10,true,200,false,6,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT5,,МАССА,X4,4
,2025-10-30 16:49:41.175 +0300,29,B2,25,К-6-2,1,10,true,2750,false,6,0,true,,,"Провод ПВАМ – 0,75-К ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000J",XT3,,СТОП,X4,3
,2025-10-30 16:49:41.186 +0300,30,C2,25,К-6-3,1,10,true,4400,false,6,0,true,,,"Провод ПВАМ – 0,75-К ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000J",XT3,,СТОП,X5,3
,2025-10-30 16:52:09.397 +0300,31,D2,27,Ч-5-4,1,10,true,200,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT4,,ГАБАРИТ,X2,1
,2025-08-17 20:04:45.943 +0300,42,F3,39,"39.5",1,,false,2530,false,,0,false,,,Трубка гибкая гофрированная 4Р907В  ТУ 2247-002-47022248-2006,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000L",,,,,
,2025-08-17 20:05:08.407 +0300,43,F4,39,"39.6",1,,false,4180,false,,0,false,,,Трубка гибкая гофрированная 4Р907В  ТУ 2247-002-47022248-2006,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000L",,,,,
,2025-08-17 20:09:44.334 +0300,44,F5,41,"41.1",1,,false,11360,false,,0,false,,,Трубка гофрированная 40910В ТУ 2247-002-47022248-2008,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000L",,,,,
,2025-08-17 20:11:14.103 +0300,45,G1,45,"45.1",1,,false,30,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-16/4, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000M",,,,,
,2025-08-17 20:13:49.918 +0300,47,G3,47,"47.1",1,,false,10,false,,0,false,,,Трубка термоусадочная ТУТ-12/6 желтая (КВТ) ТУ 2247-011-79523310-2006,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000O",,,,,
,2025-10-01 07:51:22.385 +0300,55,D1,43,"43.2",1,,false,80,false,,0,false,,,Трубка гибкая гофрированная 4Р904В  ТУ 2247-002-47022248-2008,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000A",,,,,
,2025-10-01 07:51:22.399 +0300,56,D2,45,"45.2",1,,false,1280,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000B",,,,,
,2025-10-01 07:52:24.712 +0300,40,F1,39,"39.1",1,,false,80,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000L",,,,,
,2025-10-01 07:52:24.735 +0300,41,F2,39,"39.3",1,,false,130,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000L",,,,,
,2025-10-01 07:52:24.751 +0300,46,G2,43,"43.1",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000N",,,,,
,2025-10-30 16:34:01.910 +0300,35,E3,29,Б-3-1,1,10,true,11300,true,10,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000K",X1,3,МАССА,XT1,
,2025-10-30 16:47:12.333 +0300,64,A1,23,Б-3-7,1,10,true,200,false,6,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT7,,МАССА,X5,4
,2025-10-30 16:48:11.889 +0300,36,A4,31,Ж-1,1,10,true,14150,false,6,0,true,,,"Провод ПВАМ – 0,75-Ж ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",X1,1,ВЛЕВО,X4,1
,2025-10-30 16:48:11.909 +0300,37,B4,33,З-4,1,10,true,15800,false,6,0,true,,,"Провод ПВАМ – 0,75-З ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",X1,4,ВПРАВО,X5,1
,2025-10-30 16:49:41.158 +0300,38,C4,35,К-6-1,1,10,true,11400,true,10,0,true,,,"Провод ПВАМ – 0,75-К ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000G",X1,6,СТОП,XT3,
,2025-10-30 16:50:39.144 +0300,39,D4,37,Ч-5-1,1,10,true,11350,true,10,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000G",X1,5,ГАБАРИТ,XT2,
,2025-10-30 16:50:39.163 +0300,33,C3,27,Ч-5-2,1,10,true,2550,true,10,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000K",XT2,,ГАБАРИТ,XT4,
,2025-10-30 16:52:09.378 +0300,34,D3,27,Ч-5-3,1,10,true,4200,true,10,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000K",XT2,,ГАБАРИТ,XT6,
,2025-10-30 16:52:09.406 +0300,32,E2,27,Ч-5-5,1,10,true,250,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT4,,ГАБАРИТ,X4,2
,2025-10-01 07:50:51.914 +0300,53,B4,31,Ч-5-7,1,10,true,1650,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80007",,,,,
,2025-10-01 07:51:22.372 +0300,17,D1,43,"43.1",1,,false,80,false,,0,false,,,Трубка гибкая гофрированная 4Р904В  ТУ 2247-002-47022248-2008,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000A",,,,,
,2025-10-01 07:51:22.392 +0300,18,D2,45,"45.1",1,,false,1280,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000B",,,,,
,2025-10-01 07:51:22.405 +0300,19,D3,45,"45.3",1,,false,80,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000A",,,,,
,2025-10-01 07:51:22.411 +0300,57,D3,45,"45.4",1,,false,80,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000A",,,,,
,2025-10-01 07:51:22.417 +0300,21,E1,49,"49.1",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000D",,,,,
,2025-10-01 07:51:22.434 +0300,59,E1,49,"49.3",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000D",,,,,
,2025-10-01 07:51:22.440 +0300,60,E1,49,"49.4",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000D",,,,,
,2025-10-01 07:51:22.447 +0300,61,E1,49,"49.5",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000D",,,,,
,2025-10-01 07:51:22.453 +0300,62,E1,49,"49.6",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000D",,,,,
,2025-10-01 07:51:22.460 +0300,63,E1,49,"49.7",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000D",,,,,
,2025-10-01 07:51:22.467 +0300,2,A1,27,Б-3-3,1,10,true,50,true,10,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"80001",,,,,
,2025-10-01 07:51:22.473 +0300,3,A1,27,Б-3-5,1,10,true,50,true,10,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"80001",,,,,
,2025-10-01 07:51:22.480 +0300,4,A2,27,Б-3-6,1,10,true,1500,false,6,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,,"80002",,,,,
,2025-10-01 07:51:22.488 +0300,50,A2,27,Б-3-7,1,10,true,1500,false,6,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,,"80002",,,,,
,2025-10-01 07:51:22.495 +0300,7,A5,29,К-6-2,1,10,true,1800,false,6,0,true,,,"Провод ПВАМ – 0,75-К ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80005",,,,,
,2025-10-01 07:52:24.728 +0300,69,F1,39,"39.2",1,,false,80,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000L",,,,,
,2025-10-01 07:52:24.744 +0300,70,F2,39,"39.4",1,,false,130,false,,0,false,,,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000L",,,,,
,2025-10-01 07:52:24.761 +0300,71,G2,43,"43.2",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000N",,,,,
,2025-10-30 16:47:12.322 +0300,65,B1,23,Б-3-6,1,10,true,150,false,6,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT7,,МАССА,X3,2
,2025-10-30 16:52:09.417 +0300,66,D2,27,Ч-5-6,1,10,true,200,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT6,,ГАБАРИТ,X3,1
,2025-10-30 16:52:09.428 +0300,67,E2,27,Ч-5-7,1,10,true,250,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",БВ-061.10.030А Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"8000G",XT6,,ГАБАРИТ,X5,2
,2025-10-01 07:51:22.502 +0300,51,A5,29,К-6-3,1,10,true,1800,false,6,0,true,,,"Провод ПВАМ – 0,75-К ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80005",,,,,
,2025-10-01 07:51:22.510 +0300,8,B1,31,Ч-5-3,1,,true,50,true,,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"80006",,,,,
,2025-10-01 07:51:22.516 +0300,52,B1,31,Ч-5-5,1,,true,50,true,,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"80006",,,,,
,2025-10-01 07:51:22.522 +0300,11,B4,31,Ч-5-6,1,10,true,1650,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80007",,,,,
,2025-10-01 07:52:24.770 +0300,72,G2,43,"43.3",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000N",,,,,
,2025-10-01 07:52:24.780 +0300,73,G2,43,"43.4",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000N",,,,,
,2025-10-01 07:52:24.789 +0300,74,G2,43,"43.5",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000N",,,,,
,2025-10-01 07:52:24.799 +0300,75,G2,43,"43.6",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000N",,,,,
,2025-10-01 07:52:24.808 +0300,76,G2,43,"43.7",1,,false,40,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",БВ-061.10.030А Жгут - Нарезка и зачистка,,,"8000N",,,,,
